55745,"Elite"
50902,"Credit"
58985,"Supp"
54872,"Elite"
53488,"Elite"
58266,"Supp"
59214,"Credit"
51982,"Elite"
57928,"Elite"
59379,"Elite"
53549,"Supp"
59077,"Elite"
51249,"Supp"
52736,"Elite"
54921,"Credit"
50305,"Elite"
54479,"Elite"
53533,"Elite"
59417,"Elite"
55142,"Elite"
57112,"Credit"
58242,"Elite"
58603,"Credit"
55486,"Supp"
52033,"Elite"
54639,"Elite"
51384,"Elite"
56974,"Elite"
51510,"Credit"
59870,"Supp"
54529,"Elite"
52057,"Elite"
59260,"Supp"
52715,"Elite"
55423,"Supp"
56636,"Credit"
54638,"Elite"
56668,"Elite"
55008,"Credit"
58145,"Elite"
56441,"Elite"
53961,"Supp"
55815,"Elite"
50911,"Credit"
51137,"Supp"
55951,"Elite"
57918,"Supp"
58937,"Supp"
56859,"Elite"
51918,"Credit"
51436,"Credit"
55475,"Elite"
50515,"Supp"
52304,"Elite"
54927,"Supp"
53917,"Credit"
55296,"Elite"
58205,"Elite"
53810,"Elite"
52007,"Elite"
59742,"Elite"
56199,"Credit"
54746,"Elite"
54934,"Elite"
52934,"Elite"
59180,"Elite"
52342,"Credit"
51118,"Credit"
53631,"Credit"
56202,"Elite"
56955,"Credit"
59507,"Elite"
53464,"Elite"
50227,"Elite"
59536,"Elite"
57167,"Credit"
53132,"Supp"
58087,"Supp"
51178,"Credit"
51406,"Credit"
57767,"Supp"
53870,"Elite"
55607,"Elite"
57458,"Elite"
59689,"Elite"
50005,"Elite"
50710,"Elite"
56390,"Credit"
57875,"Elite"
57417,"Elite"
52960,"Credit"
59030,"Credit"
59951,"Elite"
53359,"Supp"
51996,"Elite"
55725,"Credit"
54444,"Supp"
51273,"Elite"
55087,"Elite"
56200,"Elite"
50784,"Elite"
57502,"Elite"
57955,"Supp"
57608,"Supp"
51173,"Credit"
58971,"Credit"
56440,"Credit"
53791,"Credit"
54360,"Elite"
52098,"Elite"
57160,"Credit"
51956,"Elite"
58153,"Credit"
52949,"Elite"
52658,"Elite"
51556,"Supp"
58797,"Elite"
52996,"Elite"
59686,"Elite"
59789,"Supp"
55973,"Supp"
53390,"Elite"
50233,"Supp"
53997,"Elite"
55129,"Elite"
59812,"Elite"
58129,"Credit"
55311,"Supp"
53071,"Supp"
50456,"Credit"
56532,"Supp"
57483,"Supp"
53854,"Supp"
55562,"Credit"
52566,"Elite"
54185,"Elite"
59067,"Elite"
54124,"Credit"
50403,"Supp"
50728,"Credit"
59772,"Elite"
59092,"Elite"
52967,"Elite"
53872,"Elite"
59363,"Elite"
58251,"Elite"
51558,"Credit"
52193,"Elite"
57846,"Supp"
54377,"Credit"
59257,"Credit"
57641,"Elite"
54440,"Credit"
51064,"Elite"
51181,"Elite"
56811,"Credit"
54398,"Supp"
51103,"Elite"
52849,"Credit"
53051,"Credit"
57897,"Supp"
58423,"Elite"
51595,"Elite"
55467,"Elite"
57565,"Elite"
50587,"Elite"
59731,"Elite"
56584,"Supp"
50650,"Elite"
51076,"Elite"
56017,"Supp"
58846,"Supp"
50223,"Elite"
58860,"Supp"
53228,"Elite"
57876,"Credit"
50511,"Elite"
56680,"Supp"
51061,"Credit"
50413,"Credit"
59863,"Credit"
52565,"Elite"
53643,"Credit"
52672,"Elite"
54682,"Supp"
57195,"Credit"
56033,"Credit"
51482,"Elite"
52632,"Credit"
58038,"Supp"
59394,"Credit"
58387,"Elite"
53137,"Credit"
51888,"Elite"
59633,"Supp"
57689,"Elite"
58323,"Elite"
53874,"Elite"
51994,"Credit"
54830,"Elite"
59157,"Credit"
52309,"Credit"
59200,"Credit"
51578,"Elite"
57412,"Elite"
54561,"Supp"
56442,"Elite"
50712,"Elite"
52189,"Supp"
50075,"Credit"
50965,"Elite"
59682,"Supp"
57871,"Credit"
58117,"Credit"
58341,"Supp"
58922,"Elite"
57387,"Elite"
59501,"Credit"
56566,"Credit"
54707,"Elite"
56522,"Supp"
